matrix;approach;variant;threads;schedule;chunk;block_rows;p90_ms;gflops;bandwidth
1138_bus.mtx;sequential;;0;;0;0;0.009321;0.557041;5.570411
bcsstk13.mtx;sequential;;0;;0;0;0.054760;1.568410;15.684103
west0479.mtx;sequential;;0;;0;0;0.002874;1.329130;13.291295
orani678.mtx;sequential;;0;;0;0;0.126353;1.427087;14.270865
smt.mtx;sequential;;0;;0;0;2.529830;1.493735;14.937345
TEM27623_M.mtx;sequential;;0;;0;0;0.426384;1.095473;10.954734
TSOPF_FS_b39_c7.mtx;sequential;;0;;0;0;0.387376;1.903055;19.030546
bratu3d.mtx;sequential;;0;;0;0;0.116663;1.519367;15.193671
1138_bus.mtx;parallel(omp+csr);loop;1;static;0;0;0.009757;0.532156;5.321561
1138_bus.mtx;parallel(omp+csr);loop;1;static;1;0;0.009624;0.539469;5.394685
1138_bus.mtx;parallel(omp+csr);loop;1;static;4;0;0.009382;0.553392;5.533917
1138_bus.mtx;parallel(omp+csr);loop;1;static;8;0;0.014126;0.367541;3.675414
1138_bus.mtx;parallel(omp+csr);loop;1;static;16;0;0.009587;0.541565;5.415648
1138_bus.mtx;parallel(omp+csr);loop;1;static;32;0;0.009034;0.574729;5.747286
1138_bus.mtx;parallel(omp+csr);loop;1;dynamic;0;0;0.038017;0.136572;1.365720
1138_bus.mtx;parallel(omp+csr);loop;1;dynamic;1;0;0.033781;0.153696;1.536962
1138_bus.mtx;parallel(omp+csr);loop;1;dynamic;4;0;0.014113;0.367881;3.678809
1138_bus.mtx;parallel(omp+csr);loop;1;dynamic;8;0;0.012262;0.423429;4.234291
1138_bus.mtx;parallel(omp+csr);loop;1;dynamic;16;0;0.023955;0.216735;2.167354
1138_bus.mtx;parallel(omp+csr);loop;1;dynamic;32;0;0.009682;0.536251;5.362512
1138_bus.mtx;parallel(omp+csr);loop;1;guided;0;0;0.009840;0.527623;5.276233
1138_bus.mtx;parallel(omp+csr);loop;1;guided;1;0;0.009613;0.540096;5.400957
1138_bus.mtx;parallel(omp+csr);loop;1;guided;4;0;0.009619;0.539782;5.397819
1138_bus.mtx;parallel(omp+csr);loop;1;guided;8;0;0.009159;0.566897;5.668972
1138_bus.mtx;parallel(omp+csr);loop;1;guided;16;0;0.009440;0.550007;5.500067
1138_bus.mtx;parallel(omp+csr);loop;1;guided;32;0;0.009840;0.527623;5.276233
1138_bus.mtx;parallel(omp+csr);loop;2;static;0;0;0.006476;0.801678;8.016778
1138_bus.mtx;parallel(omp+csr);loop;2;static;1;0;0.019833;0.261780;2.617800
1138_bus.mtx;parallel(omp+csr);loop;2;static;4;0;0.010330;0.502603;5.026026
1138_bus.mtx;parallel(omp+csr);loop;2;static;8;0;0.012597;0.412159;4.121594
1138_bus.mtx;parallel(omp+csr);loop;2;static;16;0;0.011880;0.437039;4.370388
1138_bus.mtx;parallel(omp+csr);loop;2;static;32;0;0.007313;0.709993;7.099933
1138_bus.mtx;parallel(omp+csr);loop;2;dynamic;0;0;0.074895;0.069324;0.693236
1138_bus.mtx;parallel(omp+csr);loop;2;dynamic;1;0;0.069991;0.074181;0.741812
1138_bus.mtx;parallel(omp+csr);loop;2;dynamic;4;0;0.032311;0.160687;1.606868
1138_bus.mtx;parallel(omp+csr);loop;2;dynamic;8;0;0.013547;0.383258;3.832578
1138_bus.mtx;parallel(omp+csr);loop;2;dynamic;16;0;0.010297;0.504239;5.042391
1138_bus.mtx;parallel(omp+csr);loop;2;dynamic;32;0;0.008008;0.648391;6.483912
1138_bus.mtx;parallel(omp+csr);loop;2;guided;0;0;0.007968;0.651574;6.515740
1138_bus.mtx;parallel(omp+csr);loop;2;guided;1;0;0.006454;0.804454;8.044542
1138_bus.mtx;parallel(omp+csr);loop;2;guided;4;0;0.006542;0.793688;7.936884
1138_bus.mtx;parallel(omp+csr);loop;2;guided;8;0;0.006547;0.793011;7.930110
