matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/af_shell9.mtx,strong,mpiio,1,2,OK,19.730,0.891,18.838,1.782992,268.385,3.852,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,1,4,OK,19.809,0.898,18.910,1.775868,268.385,3.852,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,1,8,OK,20.987,0.883,20.103,1.676185,268.385,3.852,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,2,2,OK,10.605,0.391,10.213,3.317060,268.385,3.852,8794243,8794436.50,8794630
matrices/strong/af_shell9.mtx,strong,mpiio,2,4,OK,11.354,0.427,10.927,3.098212,268.385,3.852,8794243,8794436.50,8794630
matrices/strong/af_shell9.mtx,strong,mpiio,2,8,OK,10.884,0.414,10.469,3.232117,268.385,3.852,8794243,8794436.50,8794630
matrices/strong/af_shell9.mtx,strong,mpiio,4,2,OK,11.723,11.218,0.504,3.000857,268.385,7.703,24336,4397217.25,8770292
matrices/strong/af_shell9.mtx,strong,mpiio,4,4,OK,11.973,1.275,10.698,2.937995,268.385,7.703,24336,4397217.25,8770292
matrices/strong/af_shell9.mtx,strong,mpiio,4,8,OK,12.689,11.738,0.951,2.772329,268.385,7.703,24336,4397217.25,8770292
matrices/strong/af_shell9.mtx,strong,mpiio,8,2,OK,7.864,7.477,0.387,4.472990,268.385,7.703,0,2198607.62,4388901
matrices/strong/af_shell9.mtx,strong,mpiio,8,4,OK,7.854,0.731,7.122,4.478829,268.385,7.703,0,2198607.62,4388901
matrices/strong/af_shell9.mtx,strong,mpiio,8,8,OK,8.357,0.751,7.606,4.209348,268.385,7.703,0,2198607.62,4388901
matrices/strong/af_shell9.mtx,strong,mpiio,16,2,OK,10.561,9.424,1.137,3.330909,268.385,15.407,0,1099303.00,4372112
matrices/strong/af_shell9.mtx,strong,mpiio,16,4,OK,10.857,9.264,1.593,3.240204,268.385,15.407,0,1099303.00,4372112
matrices/strong/af_shell9.mtx,strong,mpiio,16,8,OK,7.723,6.888,0.835,4.554731,268.385,15.407,0,1099303.00,4372112
