matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/af_shell9.mtx,strong,mpiio,1,1,OK,19.630,0.890,18.740,1.792044,268.385,3.852,17588875,17588875.00,17588875
matrices/strong/af_shell9.mtx,strong,mpiio,2,1,OK,10.372,0.378,9.994,3.391476,268.385,3.852,8794243,8794436.50,8794630
matrices/strong/af_shell9.mtx,strong,mpiio,4,1,OK,11.877,1.288,10.589,2.961763,268.385,7.703,24336,4397217.25,8770292
matrices/strong/af_shell9.mtx,strong,mpiio,8,1,OK,7.917,0.712,7.205,4.443489,268.385,7.703,0,2198607.62,4388901
matrices/strong/af_shell9.mtx,strong,mpiio,16,1,OK,10.452,9.293,1.158,3.365786,268.385,15.407,0,1099303.00,4372112
matrices/strong/af_shell9.mtx,strong,mpiio,32,1,OK,16.058,15.658,0.400,2.190601,268.384,15.407,0,549650.59,2194741
matrices/strong/af_shell9.mtx,strong,mpiio,64,1,OK,8.862,8.153,0.708,3.969577,268.383,30.814,0,274824.38,2186545
matrices/strong/af_shell9.mtx,strong,mpiio,128,1,OK,13.631,13.552,0.079,2.580617,268.381,30.814,0,137411.26,1095517
matrices/strong/thermal2.mtx,strong,mpiio,1,1,OK,18.297,2.121,16.175,0.937883,130.925,9.369,8580313,8580313.00,8580313
matrices/strong/thermal2.mtx,strong,mpiio,2,1,OK,9.774,1.084,8.690,1.755705,130.925,9.369,4275106,4290155.50,4305205
matrices/strong/thermal2.mtx,strong,mpiio,4,1,OK,13.231,3.549,9.682,1.297020,130.925,18.738,189590,2145076.75,4115613
matrices/strong/thermal2.mtx,strong,mpiio,8,1,OK,9.248,7.653,1.595,1.855550,130.925,18.738,16962,1072537.50,2132281
matrices/strong/thermal2.mtx,strong,mpiio,16,1,OK,16.273,13.430,2.842,1.054541,130.925,37.477,11,536267.88,2056376
matrices/strong/thermal2.mtx,strong,mpiio,32,1,OK,19.586,17.521,2.064,0.876149,130.924,37.477,0,268133.31,1072170
matrices/strong/thermal2.mtx,strong,mpiio,64,1,OK,14.797,13.291,1.506,1.159706,130.924,74.954,0,134065.73,1023518
matrices/strong/thermal2.mtx,strong,mpiio,128,1,OK,15.986,15.590,0.396,1.073470,130.922,74.954,0,67032.00,516146
matrices/strong/poisson.mtx,strong,mpiio,1,1,OK,0.367,0.009,0.357,1.924046,5.383,0.103,352762,352762.00,352762
matrices/strong/poisson.mtx,strong,mpiio,2,1,OK,0.214,0.004,0.209,3.302649,5.383,0.103,146394,176380.50,206367
matrices/strong/poisson.mtx,strong,mpiio,4,1,OK,0.165,0.063,0.101,4.288633,5.383,0.206,67571,88189.75,127544
matrices/strong/poisson.mtx,strong,mpiio,8,1,OK,0.104,0.039,0.066,6.755990,5.383,0.206,27658,44094.38,78892
matrices/strong/poisson.mtx,strong,mpiio,16,1,OK,0.087,0.050,0.037,8.107004,5.382,0.412,12352,22046.69,50813
matrices/strong/poisson.mtx,strong,mpiio,32,1,OK,0.059,0.033,0.026,11.931171,5.382,0.412,4372,11022.88,32455
matrices/strong/poisson.mtx,strong,mpiio,64,1,OK,0.060,0.048,0.011,11.787498,5.382,0.825,1523,5510.94,22151
matrices/strong/poisson.mtx,strong,mpiio,128,1,OK,0.051,0.045,0.006,13.758722,5.381,0.825,192,2754.97,11809
matrices/strong/amazon0312.mtx,strong,mpiio,1,1,OK,8.424,0.646,7.777,0.759878,48.835,3.057,3200440,3200440.00,3200440
matrices/strong/amazon0312.mtx,strong,mpiio,2,1,OK,4.785,0.309,4.476,1.337746,48.835,3.057,1484882,1600219.50,1715557
matrices/strong/amazon0312.mtx,strong,mpiio,4,1,OK,5.052,3.931,1.121,1.266976,48.835,6.115,120337,800109.25,1595219
