matrix;approach;variant;threads;schedule;chunk;block_rows;p90_ms;gflops;bandwidth
1138_bus.mtx;sequential;;0;;0;0;0.009321;0.557041;5.570411
1138_bus.mtx;parallel(omp+csr);loop;2;guided;1;0;0.006454;0.804454;8.044542
1138_bus.mtx;blocked;;4;static;0;32;0.006221;0.834561;8.345610
bcsstk13.mtx;sequential;;0;;0;0;0.054760;1.568410;15.684103
bcsstk13.mtx;parallel(omp+csr);loop;4;static;16;0;0.016535;5.194288;51.942881
bcsstk13.mtx;blocked;;4;static;4;128;0.019066;4.504660;45.046595
west0479.mtx;sequential;;0;;0;0;0.002874;1.329130;13.291295
west0479.mtx;parallel(omp+csr);loop;1;static;4;0;0.003429;1.113985;11.139853
west0479.mtx;blocked;;1;static;32;128;0.003623;1.054420;10.544200
orani678.mtx;sequential;;0;;0;0;0.126353;1.427087;14.270865
orani678.mtx;parallel(omp+csr);loop;8;static;16;0;0.031685;5.690813;56.908127
orani678.mtx;blocked;;4;static;1;128;0.035385;5.095879;50.958791
smt.mtx;sequential;;0;;0;0;2.529830;1.493735;14.937345
smt.mtx;parallel(omp+csr);loop;16;static;16;0;0.280326;13.480344;134.803438
smt.mtx;blocked;;32;static;4;32;0.200113;18.883774;188.837741
TEM27623_M.mtx;sequential;;0;;0;0;0.426384;1.095473;10.954734
TEM27623_M.mtx;parallel(omp+csr);loop;16;static;32;0;0.070443;6.630744;66.307440
TEM27623_M.mtx;blocked;;16;static;4;64;0.056231;8.306605;83.066053
TSOPF_FS_b39_c7.mtx;sequential;;0;;0;0;0.387376;1.903055;19.030546
TSOPF_FS_b39_c7.mtx;parallel(omp+csr);loop;16;static;32;0;0.087755;8.400657;84.006572
TSOPF_FS_b39_c7.mtx;blocked;;16;static;4;128;0.069944;10.539804;105.398035
bratu3d.mtx;sequential;;0;;0;0;0.116663;1.519367;15.193671
bratu3d.mtx;parallel(omp+csr);loop;32;static;0;0;0.029469;6.014950;60.149495
bratu3d.mtx;blocked;;4;static;4;256;0.034094;5.199001;51.990011
